啊	ɑ
叁	sɛ⁵³
伞	sɛ³⁴
散	sɛ²³
馓	sɛ²³
山	sɛ⁵³
彡	sɛ⁵³
删	sɛ⁵³
杉	sɛ⁵³
芟	sɛ⁵³
姗	sɛ⁵³
衫	sɛ⁵³
钐	sɛ³⁴
珊	sɛ⁵³
舢	sɛ⁵³
跚	sɛ⁵³
潸	sɛ⁵³
讪	sɛ³⁴
汕	sɛ³⁴
疝	sɛ³⁴
弛	sɿ²³
啻	sɿ³⁴
赐	sɿ³⁴
尿	sɿ⁵³
尸	sɿ⁵³
师	sɿ⁵³
诗	sɿ⁵³
施	sɿ⁵³
狮	sɿ⁵³
蓍	sɿ⁵³
酾	sɿ⁵³
史	sɿ²³
矢	sɿ²³
豕	sɿ²³
使	sɿ²³
始	sɿ²³
驶	sɿ²³
屎	sɿ²³
世	sɿ³⁴
势	sɿ³⁴
试	sɿ³⁴
贳	sɿ³⁴
弑	sɿ³⁴
书	sɿ⁵³
抒	sɿ⁵³
纾	sɿ⁵³
枢	sɿ⁵³
梳	sɿ⁵³
舒	sɿ⁵³
毹	sɿ⁵³
输	sɿ⁵³
暑	sɿ²³
黍	sɿ²³
戍	sɿ³⁴
恕	sɿ³⁴
庶	sɿ³⁴
腧	sɿ³⁴
水	sɿ²³
厶	sɿ⁵³
纟	sɿ⁵³
丝	sɿ⁵³
司	sɿ⁵³
私	sɿ⁵³
咝	sɿ⁵³
思	sɿ⁵³
鸶	sɿ⁵³
斯	sɿ⁵³
缌	sɿ⁵³
蛳	sɿ⁵³
厮	sɿ⁵³
锶	sɿ⁵³
嘶	sɿ⁵³
撕	sɿ⁵³
澌	sɿ³⁴
四	sɿ³⁴
伺	sɿ³⁴
泗	sɿ³⁴
驷	sɿ³⁴
笥	sɿ⁵³
肆	sɿ³⁴
葸	sɿ²³
屣	sɿ²³
蓰	sɿ²³
缲	sɔ⁵³
鞘	sɔ⁵³
搔	sɔ⁵³
骚	sɔ⁵³
缫	sɔ⁵³
臊	sɔ³⁴
鳋	sɔ⁵³
扫	sɔ²³
嫂	sɔ²³
埽	sɔ³⁴
瘙	sɔ³⁴
捎	sɔ⁵³
梢	sɔ⁵³
烧	sɔ⁵³
稍	sɔ⁵³
筲	sɔ⁵³
艄	sɔ⁵³
少	sɔ²³
哨	sɔ³⁴
潲	sɔ³⁴
燥	sɔ³⁴
殇	sɑ̃⁵³
觞	sɑ̃⁵³
生	sɑ̃⁵³
声	sɑ̃⁵³
牲	sɑ̃⁵³
甥	sɑ̃⁵³
省	sɑ̃²³
眚	sɑ̃²³
参	səŋ⁵³
抻	səŋ³⁴
森	səŋ⁵³
僧	səŋ⁵³
申	səŋ⁵³
伸	səŋ⁵³
身	səŋ⁵³
呻	səŋ⁵³
绅	səŋ⁵³
诜	səŋ⁵³
砷	səŋ⁵³
深	səŋ⁵³
沈	səŋ²³
审	səŋ²³
哂	səŋ²³
矧	səŋ²³
谂	səŋ²³
婶	səŋ²³
渖	səŋ²³
胂	səŋ⁵³
渗	səŋ³⁴
升	səŋ⁵³
昇	səŋ⁵³
胜	səŋ⁵³
笙	səŋ⁵³
圣	səŋ³⁴
舜	səŋ³⁴
瞬	səŋ³⁴
孙	səŋ⁵³
狲	səŋ⁵³
荪	səŋ⁵³
飧	səŋ⁵³
损	səŋ²³
笋	səŋ²³
榫	səŋ²³
莘	səŋ⁵³
逊	səŋ³⁴
巽	səŋ³⁴
色	səˀ⁵⁵
啬	səˀ⁵⁵
设	səˀ⁵⁵
失	səˀ⁵⁵
识	səˀ⁵⁵
式	səˀ⁵⁵
饰	səˀ⁵⁵
室	səˀ⁵⁵
说	səˀ⁵⁵
榱	sø⁵³
粹	sø³⁴
锐	sø³⁴
毵	sø⁵³
糁	sø²³
煽	sø⁵³
膻	sø⁵³
闪	sø²³
陕	sø²³
苫	sø⁵³
扇	sø³⁴
骟	sø³⁴
舍	sø³⁴
闩	sø⁵³
拴	sø⁵³
栓	sø⁵³
税	sø³⁴
说	sø³⁴
狻	sø⁵³
酸	sø⁵³
蒜	sø³⁴
算	sø³⁴
虽	sø⁵³
荽	sø⁵³
睢	sø⁵³
濉	sø⁵³
绥	sø⁵³
岁	sø³⁴
祟	sø³⁴
谇	sø³⁴
邃	sø³⁴
收	sɤ⁵³
手	sɤ²³
守	sɤ²³
首	sɤ²³
艏	sɤ²³
狩	sɤ³⁴
兽	sɤ³⁴
瘦	sɤ³⁴
漱	sɤ³⁴
嗽	sɤ³⁴
嗖	sɤ³⁴
搜	sɤ⁵³
溲	sɤ⁵³
馊	sɤ⁵³
飕	sɤ⁵³
锼	sɤ⁵³
艘	sɤ⁵³
螋	sɤ⁵³
叟	sɤ²³
嗾	sɤ²³
瞍	sɤ²³
擞	sɤ²³
薮	sɤ²³
仨	sa⁵³
洒	sa²³
傻	sa²³	
筛	sa⁵³
耍	sa²³
衰	sa⁵³
厦	sa³⁴
萨	sɑˀ⁵⁵
唼	sɑˀ⁵⁵
卅	sɑˀ⁵⁵
啥	sɑˀ⁵⁵
杀	sɑˀ⁵⁵
煞	sɑˀ⁵⁵
嗄	so³⁴
沙	so⁵³
纱	so⁵³
砂	so⁵³
莎	so⁵³
痧	so⁵³
裟	so⁵³
鲨	so⁵³
晒	so³⁴
奢	so⁵³
猞	so⁵³
赊	so⁵³
畲	so⁵³
舍	so²³
厍	so³⁴
赦	so³⁴
忪	soŋ⁵³
松	soŋ⁵³
凇	soŋ⁵³
崧	soŋ⁵³
淞	soŋ⁵³
菘	soŋ⁵³
嵩	soŋ⁵³
怂	soŋ²³
悚	soŋ²³
捒	soŋ³⁴
耸	soŋ²³
竦	soŋ²³
宋	soŋ³⁴
送	soŋ³⁴
疏	su⁵³
蔬	su⁵³
数	su²³
苏	su⁵³
酥	su⁵³
稣	su⁵³
诉	su³⁴
素	su³⁴
嗉	su³⁴
愫	su³⁴
溯	su³⁴
唆	su⁵³
娑	su⁵³
挲	su⁵³
桫	su⁵³
梭	su⁵³
羧	su⁵³
蓑	su⁵³
簑	su⁵³
所	su²³
唢	su²³
琐	su²³
锁	su²³
须	su⁵³
疋	su⁵³
耷	tɑˀ⁵⁵
搭	tɑˀ⁵⁵
嗒	tɑˀ⁵⁵
褡	tɑˀ⁵⁵
妲	tɑˀ⁵⁵
怛	tɑˀ⁵⁵
笪	tɑˀ⁵⁵
溚	tɑˀ⁵⁵
答	tɑˀ⁵⁵
瘩	tɑˀ⁵⁵
靼	tɑˀ⁵⁵
刀	tɔ⁵³
叨	tɔ⁵³
忉	tɔ⁵³
氘	tɔ⁵³
岛	tɔ²³
倒	tɔ²³
捣	tɔ²³
祷	tɔ²³
到	tɔ³⁴
歹	tɛ²³
戴	tɛ³⁴
堆	tɛ⁵³
对	tɛ³⁴
碓	tɛ³⁴
德	təˀ⁵⁵
得	təˀ⁵⁵
铛	tɑ̃⁵³
当	tɑ̃⁵³
珰	tɑ̃⁵³
裆	tɑ̃⁵³
挡	tɑ̃²³
党	tɑ̃²³
谠	tɑ̃²³
档	tɑ̃³⁴
斗	tɤ²³
眈	tø⁵³
黕	tø²³
端	tø⁵³
短	tø²³
断	tø³⁴
煅	tø³⁴
锻	tø³⁴
簖	tø²³
灯	təŋ⁵³
登	təŋ⁵³
噔	təŋ⁵³
竳	təŋ⁵³
簦	təŋ⁵³
蹬	təŋ⁵³
等	təŋ²³
戥	təŋ²³
凳	təŋ³⁴
嶝	təŋ³⁴
瞪	təŋ³⁴
磴	təŋ³⁴
镫	təŋ³⁴
镦	təŋ⁵³
吨	təŋ⁵³
敦	təŋ⁵³
墩	təŋ⁵³
礅	təŋ⁵³
蹲	təŋ⁵³
盹	təŋ²³
趸	təŋ²³
炖	təŋ³⁴
砘	təŋ³⁴
顿	təŋ³⁴
燉	təŋ³⁴
呔	ta⁵³
傣	ta²³
带	ta³⁴
戴	ta³⁴
丢	tiɤ⁵³
铥	tiɤ⁵³
刁	tiɔ⁵³
叼	tiɔ⁵³
凋	tiɔ⁵³
貂	tiɔ⁵³
碉	tiɔ⁵³
雕	tiɔ⁵³
鲷	tiɔ⁵³
屌	tiɔ²³
吊	tiɔ³⁴
钓	tiɔ³⁴
窎	tiɔ³⁴
铞	tiɔ³⁴
钌	tiɔ²³
鸟	tiɔ²³
茑	tiɔ²³
铫	tiɔ³⁴
啁	tiɔ⁵³
敁	ti⁵³
掂	ti⁵³
滇	ti⁵³
颠	ti⁵³
巅	ti⁵³
癫	ti⁵³
典	ti²³
点	ti²³
碘	ti²³
踮	ti³⁴
坫	ti³⁴
店	ti³⁴
玷	ti³⁴
惦	ti³⁴
癜	ti³⁴
埝	ti³⁴
的	tiɪˀ⁵⁵
嘀	tiɪˀ⁵⁵
滴	tiɪˀ⁵⁵
镝	tiɪˀ⁵⁵
嫡	tiɪˀ⁵⁵
扚	tiɪˀ⁵⁵
跌	tiɪˀ⁵⁵
擿	tiɪˀ⁵⁵
丁	tin⁵³
仃	tin⁵³
叮	tin⁵³
玎	tin⁵³
疔	tin⁵³
盯	tin⁵³
钉	tin⁵³
耵	tin²³
酊	tin⁵³
顶	tin²³
鼎	tin²³
订	tin³⁴
町	tin²³
濎	tin²³
爹	tiɑ²³
嗲	tiɑ⁵³
东	toŋ⁵³
冬	toŋ⁵³
咚	toŋ⁵³
岽	toŋ⁵³
氡	toŋ⁵³
鸫	toŋ⁵³
董	toŋ²³
懂	toŋ²³
冻	toŋ³⁴
栋	toŋ³⁴
胨	toŋ⁵³
督	toˀ⁵⁵
厾	toˀ⁵⁵
笃	toˀ⁵⁵
沰	toˀ⁵⁵
啄	toˀ⁵⁵
都	tu⁵³
嘟	tu⁵³
堵	tu²³
赌	tu²³
睹	tu²³
妒	tu³⁴
肚	tu²³
蠹	tu³⁴
多	tu⁵³
哆	tu⁵³
朵	tu²³
哚	tu²³
缍	tu²³
躲	tu²³
剁	tu³⁴
跺	tu³⁴
惝	tʰɑ̃²³
汤	tʰɑ̃⁵³
铴	tʰɑ̃⁵³
羰	tʰɑ̃⁵³
镗	tʰɑ̃⁵³
帑	tʰɑ̃²³
倘	tʰɑ̃²³
淌	tʰɑ̃²³
傥	tʰɑ̃²³
耥	tʰɑ̃²³
躺	tʰɑ̃²³
烫	tʰɑ̃³⁴
趟	tʰɑ̃³⁴
聃	tʰɛ⁵³
坍	tʰɛ⁵³
摊	tʰɛ⁵³
滩	tʰɛ⁵³
瘫	tʰɛ⁵³
坦	tʰɛ²³
袒	tʰɛ²³
钽	tʰɛ²³
毯	tʰɛ²³
叹	tʰɛ³⁴
炭	tʰɛ³⁴
赕	tʰɛ³⁴
碳	tʰɛ³⁴
忑	tʰəˀ⁵⁵
忒	tʰəˀ⁵⁵
铽	tʰəˀ⁵⁵
慝	tʰəˀ⁵⁵
脱	tʰəˀ⁵⁵
贪	tʰø⁵³
忐	tʰø²³
探	tʰø³⁴
傝	tʰø³⁴
湍	tʰø⁵³
疃	tʰø²³
彖	tʰø³⁴
钭	tʰɤ²³
偷	tʰɤ⁵³
敨	tʰɤ²³
透	tʰɤ³⁴
膯	tʰəŋ⁵³
吞	tʰəŋ⁵³
暾	tʰəŋ⁵³
氽	tʰəŋ²³	
她	tʰɑ⁵³
铊	tʰɑ⁵³
太	tʰɑ³⁴
汰	tʰɑ³⁴
肽	tʰɑ³⁴
钛	tʰɑ³⁴
泰	tʰɑ³⁴
酞	tʰɑ³⁴
拖	tʰɑ⁵³
嗒	tʰɑˀ⁵⁵
溚	tʰɑˀ⁵⁵
鞑	tʰɑˀ⁵⁵
塌	tʰɑˀ⁵⁵
溻	tʰɑˀ⁵⁵
塔	tʰɑˀ⁵⁵
獭	tʰɑˀ⁵⁵
鳎	tʰɑˀ⁵⁵
搨	tʰɑˀ⁵⁵
遢	tʰɑˀ⁵⁵
榻	tʰɑˀ⁵⁵
蹋	tʰɑˀ⁵⁵
傝	tʰɑˀ⁵⁵
通	tʰoŋ⁵³
嗵	tʰoŋ⁵³
统	tʰoŋ²³
捅	tʰoŋ²³
痛	tʰoŋ³⁴
土	tʰu²³
吐	tʰu²³
钍	tʰu²³
兔	tʰu³⁴
堍	tʰu³⁴
拖	tʰu⁵³
妥	tʰu²³
椭	tʰu²³
唾	tʰu³⁴
毻	tʰu³⁴
魄	tʰoˀ⁵⁵
秃	tʰoˀ⁵⁵
乇	tʰoˀ⁵⁵
托	tʰoˀ⁵⁵
橐	tʰoˀ⁵⁵
庹	tʰoˀ⁵⁵
拓	tʰoˀ⁵⁵
柝	tʰoˀ⁵⁵
箨	tʰoˀ⁵⁵
叨	tʰɔ⁵³
绦	tʰɔ⁵³
滔	tʰɔ⁵³
韬	tʰɔ⁵³
饕	tʰɔ⁵³
洮	tʰɔ⁵³
讨	tʰɔ²³
套	tʰɔ³⁴
剔	tʰiɪˀ⁵⁵
踢	tʰiɪˀ⁵⁵
倜	tʰiɪˀ⁵⁵
逖	tʰiɪˀ⁵⁵
惕	tʰiɪˀ⁵⁵
贴	tʰiɪˀ⁵⁵
萜	tʰiɪˀ⁵⁵
铁	tʰiɪˀ⁵⁵
帖	tʰiɪˀ⁵⁵
餮	tʰiɪˀ⁵⁵
佻	tʰiɔ⁵³
挑	tʰiɔ⁵³
祧	tʰiɔ⁵³
眺	tʰiɔ³⁴
粜	tʰiɔ³⁴
跳	tʰiɔ³⁴
厅	tʰiɲ⁵³
汀	tʰiɲ⁵³
听	tʰiɲ⁵³
烃	tʰiɲ⁵³
栝	tʰi³⁴
腼	tʰi²³
天	tʰi⁵³
添	tʰi⁵³
忝	tʰi²³
腆	tʰi²³
舔	tʰi²³
掭	tʰi³⁴
丌	ʨi⁵³
讥	ʨi⁵³
叽	ʨi⁵³
饥	ʨi⁵³
乩	ʨi⁵³
机	ʨi⁵³
玑	ʨi⁵³
肌	ʨi⁵³
矶	ʨi⁵³
鸡	ʨi⁵³
剞	ʨi⁵³
姬	ʨi⁵³
笄	ʨi⁵³
基	ʨi⁵³
嵇	ʨi⁵³
箕	ʨi⁵³
稽	ʨi⁵³
羁	ʨi⁵³
几	ʨi²³
己	ʨi²³
虮	ʨi²³
掎	ʨi²³
麂	ʨi²³
彐	ʨi³⁴
计	ʨi³⁴
记	ʨi³⁴
纪	ʨi³⁴
季	ʨi³⁴
既	ʨi³⁴
继	ʨi³⁴
觊	ʨi³⁴
寄	ʨi³⁴
悸	ʨi³⁴
蓟	ʨi³⁴
暨	ʨi³⁴
冀	ʨi³⁴
骥	ʨi³⁴
朞	ʨi⁵³
系	ʨi³⁴
革	ʨiɑˀ⁵⁵
嘎	ʨiɑˀ⁵⁵
格	ʨiɑˀ⁵⁵
甲	ʨiɑˀ⁵⁵
胛	ʨiɑˀ⁵⁵
隔	ʨiɑˀ⁵⁵
颉	ʨiɑˀ⁵⁵
骱	ʨiɑˀ⁵⁵
嗝	ʨiɑˀ⁵⁵
塥	ʨiɑˀ⁵⁵
膈	ʨiɑˀ⁵⁵
镉	ʨiɑˀ⁵⁵
骼	ʨiɑˀ⁵⁵
夹	ʨiɑˀ⁵⁵
岬	ʨiɑˀ⁵⁵
郏	ʨiɑˀ⁵⁵
恝	ʨiɑˀ⁵⁵
戛	ʨiɑˀ⁵⁵
稽	ʨʰi²³
亟	ʨʰi³⁴
桤	ʨʰi⁵³
欺	ʨʰi⁵³
跂	ʨʰi³⁴
企	ʨʰi²³
屺	ʨʰi²³
岂	ʨʰi²³
芑	ʨʰi²³
启	ʨʰi²³
杞	ʨʰi²³
起	ʨʰi²³
绮	ʨʰi²³
綮	ʨʰi²³
气	ʨʰi³⁴
弃	ʨʰi³⁴
汽	ʨʰi³⁴
契	ʨʰi³⁴
器	ʨʰi³⁴
憩	ʨʰi³⁴
去	ʨʰi³⁴
溪	ʨʰi⁵³
螅	ʨʰi³⁴
嗟	ʨia⁵³
姐	ʨia²³
借	ʨia³⁴
唶	ʨia³⁴
将	ʨiɑ̃³⁴
浆	ʨiɑ̃⁵³
奖	ʨiɑ̃²³
桨	ʨiɑ̃²³
蒋	ʨiɑ̃²³
酱	ʨiɑ̃³⁴
郊	ʨiɔ⁵³
姣	ʨiɔ²³
娇	ʨiɔ⁵³
浇	ʨiɔ⁵³
骄	ʨiɔ⁵³
蛟	ʨiɔ⁵³
佼	ʨiɔ²³
挢	ʨiɔ²³
狡	ʨiɔ²³
饺	ʨiɔ²³
皎	ʨiɔ²³
矫	ʨiɔ²³
敫	ʨiɔ²³
徼	ʨiɔ⁵³
徼	ʨiɔ²³
徼	ʨiɔ³⁴
缴	ʨiɔ²³
叫	ʨiɔ³⁴
较	ʨiɔ³⁴
枭	ʨiɔ⁵³
骁	ʨiɔ⁵³
校	ʨiɔ³⁴
纠	ʨiɤ⁵³
究	ʨiɤ⁵³
鸠	ʨiɤ⁵³
赳	ʨiɤ⁵³
阄	ʨiɤ⁵³
九	ʨiɤ²³
久	ʨiɤ²³
灸	ʨiɤ²³
玖	ʨiɤ²³
韭	ʨiɤ²³
疚	ʨiɤ³⁴
厩	ʨiɤ³⁴
救	ʨiɤ³⁴
迹	ʨiɪˀ⁵⁵
唧	ʨiɪˀ⁵⁵
积	ʨiɪˀ⁵⁵
绩	ʨiɪˀ⁵⁵
即	ʨiɪˀ⁵⁵
戢	ʨiɪˀ⁵⁵
楫	ʨiɪˀ⁵⁵
蝍	ʨiɪˀ⁵⁵
瘠	ʨiɪˀ⁵⁵
鹡	ʨiɪˀ⁵⁵
脊	ʨiɪˀ⁵⁵
嵴	ʨiɪˀ⁵⁵
稷	ʨiɪˀ⁵⁵
鲫	ʨiɪˀ⁵⁵
浃	ʨiɪˀ⁵⁵
疖	ʨiɪˀ⁵⁵
接	ʨiɪˀ⁵⁵
卩	ʨiɪˀ⁵⁵
节	ʨiɪˀ⁵⁵
婕	ʨiɪˀ⁵⁵
睫	ʨiɪˀ⁵⁵
巾	ʨin⁵³
今	ʨin⁵³
斤	ʨin⁵³
钅	ʨin⁵³
金	ʨin⁵³
矜	ʨin⁵³
衿	ʨin⁵³
筋	ʨin⁵³
襟	ʨin⁵³
卺	ʨin²³
紧	ʨin²³
堇	ʨin²³
谨	ʨin²³
锦	ʨin²³
槿	ʨin²³
劲	ʨin³⁴
禁	ʨin³⁴
靳	ʨin³⁴
京	ʨin⁵³
泾	ʨin⁵³
经	ʨin⁵³
茎	ʨin⁵³
荆	ʨin⁵³
惊	ʨin⁵³
兢	ʨin⁵³
刭	ʨin²³
颈	ʨin²³
景	ʨin²³
儆	ʨin²³
憬	ʨin²³
警	ʨin²³
弪	ʨin³⁴
径	ʨin³⁴
迳	ʨin³⁴
胫	ʨin³⁴
竟	ʨin³⁴
敬	ʨin³⁴
境	ʨin²³
獍	ʨin³⁴
镜	ʨin³⁴
龟	ʨyn⁵³
军	ʨyn⁵³
君	ʨyn⁵³
均	ʨyn⁵³
钧	ʨyn⁵³
皲	ʨyn⁵³
菌	ʨyn⁵³
麇	ʨyn⁵³
捃	ʨyn³⁴
供	ʨioŋ³⁴
龚	ʨioŋ⁵³
廾	ʨioŋ²³
珙	ʨioŋ²³
炅	ʨioŋ²³
扃	ʨioŋ²³
炯	ʨioŋ²³
垧	ʨioŋ⁵³
车	ʨy⁵³
归	ʨy⁵³
龟	ʨy⁵³
鬼	ʨy²³
贵	ʨy³⁴
鳜	ʨy³⁴
居	ʨy⁵³
拘	ʨy⁵³
驹	ʨy⁵³
椐	ʨy⁵³
琚	ʨy⁵³
裾	ʨy⁵³
举	ʨy²³
矩	ʨy²³
莒	ʨy²³
榉	ʨy²³
榘	ʨy²³
踽	ʨy²³
句	ʨy³⁴
倨	ʨy³⁴
据	ʨy³⁴
锯	ʨy³⁴
屦	ʨy³⁴
踞	ʨy³⁴
吃	ʨyəˀ⁵⁵	
砝	ʨyəˀ⁵⁵	
给	ʨyəˀ⁵⁵	
击	ʨyəˀ⁵⁵	
芨	ʨyəˀ⁵⁵	
墼	ʨyəˀ⁵⁵	
激	ʨyəˀ⁵⁵	
吉	ʨyəˀ⁵⁵	
汲	ʨyəˀ⁵⁵	
级	ʨyəˀ⁵⁵	
亟	ʨyəˀ⁵⁵	
急	ʨyəˀ⁵⁵	
棘	ʨyəˀ⁵⁵	
殛	ʨyəˀ⁵⁵	
戟	ʨyəˀ⁵⁵	
髻	ʨyəˀ⁵⁵	
袷	ʨyəˀ⁵⁵	
荚	ʨyəˀ⁵⁵	
铗	ʨyəˀ⁵⁵	
蛱	ʨyəˀ⁵⁵	
颊	ʨyəˀ⁵⁵	
秸	ʨyəˀ⁵⁵	
揭	ʨyəˀ⁵⁵	
孑	ʨyəˀ⁵⁵	
讦	ʨyəˀ⁵⁵	
劫	ʨyəˀ⁵⁵	
拮	ʨyəˀ⁵⁵	
洁	ʨyəˀ⁵⁵	
结	ʨyəˀ⁵⁵	
羯	ʨyəˀ⁵⁵	
桔	ʨyəˀ⁵⁵	
禊	ʨyəˀ⁵⁵
佳	ʨʰiɑ⁵³
贾	ʨʰiɑ²³
皆	ʨʰiɑ⁵³
诫	ʨʰiɑ³⁴
偕	ʨʰiɑ⁵³
跷	ʨʰiɔ⁵³
敲	ʨʰiɔ⁵³
橇	ʨʰiɔ⁵³
鞒	ʨʰiɔ⁵³
巧	ʨʰiɔ²³
窍	ʨʰiɔ³⁴
翘	ʨʰiɔ³⁴
呛	ʨʰiɑ̃³⁴
枪	ʨʰiɑ̃⁵³
跄	ʨʰiɑ̃⁵³
锖	ʨʰiɑ̃⁵³
锵	ʨʰiɑ̃⁵³
抢	ʨʰiɑ̃²³
炝	ʨʰiɑ̃³⁴
亟	ʨʰi³⁴
桤	ʨʰi⁵³
欺	ʨʰi⁵³
跂	ʨʰi³⁴
企	ʨʰi²³
屺	ʨʰi²³
岂	ʨʰi²³
芑	ʨʰi²³
启	ʨʰi²³
杞	ʨʰi²³
起	ʨʰi²³
绮	ʨʰi²³
綮	ʨʰi²³
气	ʨʰi³⁴
弃	ʨʰi³⁴
汽	ʨʰi³⁴
契	ʨʰi³⁴
器	ʨʰi³⁴
憩	ʨʰi³⁴
去	ʨʰi³⁴
溪	ʨʰi⁵³
螅	ʨʰi³⁴
吃	ʨʰiɪˀ⁵⁵
凵	ʨʰy²³
圈	ʨʰy⁵³
犭	ʨʰy²³
犬	ʨʰy²³
劝	ʨʰy³⁴
券	ʨʰy³⁴
秋	ʨʰiɤ⁵³
楸	ʨʰiɤ⁵³
鳅	ʨʰiɤ⁵³
敠	ʨʰiɪˀ⁵⁵
缉	ʨʰiɪˀ⁵⁵
辑	ʨʰiɪˀ⁵⁵
七	ʨʰiɪˀ⁵⁵
沏	ʨʰiɪˀ⁵⁵
柒	ʨʰiɪˀ⁵⁵
戚	ʨʰiɪˀ⁵⁵
嘁	ʨʰiɪˀ⁵⁵
槭	ʨʰiɪˀ⁵⁵
漆	ʨʰiɪˀ⁵⁵
葺	ʨʰiɪˀ⁵⁵
碛	ʨʰiɪˀ⁵⁵
切	ʨʰiɪˀ⁵⁵
妾	ʨʰiɪˀ⁵⁵
窃	ʨʰiɪˀ⁵⁵
亲	ʨʰiɲ⁵³
侵	ʨʰiɲ⁵³
锓	ʨʰiɲ⁵³
寝	ʨʰiɲ²³
吣	ʨʰiɲ³⁴
沁	ʨʰiɲ³⁴
青	ʨʰiɲ⁵³
圊	ʨʰiɲ⁵³
清	ʨʰiɲ⁵³
鲭	ʨʰiɲ⁵³
氰	ʨʰiɲ⁵³
请	ʨʰiɲ²³
逡	ʨʰiɲ⁵³
诎	ʨʰyəˀ⁵⁵
屈	ʨʰyəˀ⁵⁵
炔	ʨʰyəˀ⁵⁵
缺	ʨʰyəˀ⁵⁵
阕	ʨʰyəˀ⁵⁵
阙	ʨʰyəˀ⁵⁵
侧	ʦə⁵⁵
绌	ʦə⁵⁵
嘬	ʦə⁵⁵
啐	ʦə⁵⁵
蕺	ʦə⁵⁵
慑	ʦə⁵⁵
拶	ʦə⁵⁵
则	ʦə⁵⁵
责	ʦə⁵⁵
啧	ʦə⁵⁵
仄	ʦə⁵⁵
昃	ʦə⁵⁵
折	ʦə⁵⁵
哲	ʦə⁵⁵
辄	ʦə⁵⁵
摺	ʦə⁵⁵
褶	ʦə⁵⁵
这	ʦə⁵⁵
浙	ʦə⁵⁵
汁	ʦə⁵⁵
织	ʦə⁵⁵
执	ʦə⁵⁵
职	ʦə⁵⁵
絷	ʦə⁵⁵
只	ʦə⁵⁵
质	ʦə⁵⁵
郅	ʦə⁵⁵
栉	ʦə⁵⁵
陟	ʦə⁵⁵
桎	ʦə⁵⁵
窒	ʦə⁵⁵
骘	ʦə⁵⁵
膣	ʦə⁵⁵
拙	ʦə⁵⁵
茁	ʦə⁵⁵
卒	ʦə⁵⁵
攥	ʦə⁵⁵
灾	ʦɛ⁵³
哉	ʦɛ⁵³
栽	ʦɛ⁵³
宰	ʦɛ²³
载	ʦɛ²³
崽	ʦɛ²³
再	ʦɛ³⁴
盏	ʦɛ⁵³
查	ʦo⁵³
挝	ʦo⁵³
咱	ʦo⁵³
吒	ʦo³⁴
咋	ʦo³⁴
揸	ʦo⁵³
渣	ʦo⁵³
楂	ʦo⁵³
齄	ʦo⁵³
诈	ʦo³⁴
咤	ʦo³⁴
炸	ʦo³⁴
痄	ʦo³⁴
蚱	ʦo³⁴
榨	ʦo³⁴
膪	ʦo³⁴
遮	ʦo⁵³
者	ʦo²³
锗	ʦo²³
赭	ʦo²³
这	ʦo³⁴
柘	ʦo³⁴
蔗	ʦo³⁴
鹧	ʦo³⁴
苁	ʦoŋ²³
枞	ʦoŋ⁵³
忪	ʦoŋ⁵³
夂	ʦoŋ⁵³
中	ʦoŋ⁵³
忠	ʦoŋ⁵³
终	ʦoŋ⁵³
盅	ʦoŋ⁵³
钟	ʦoŋ⁵³
舯	ʦoŋ⁵³
衷	ʦoŋ⁵³
锺	ʦoŋ⁵³
螽	ʦoŋ⁵³
肿	ʦoŋ²³
种	ʦoŋ²³
种	ʦoŋ³⁴
冢	ʦoŋ²³
踵	ʦoŋ²³
众	ʦoŋ³⁴
宗	ʦoŋ⁵³
综	ʦoŋ³⁴
棕	ʦoŋ⁵³
腙	ʦoŋ⁵³
踪	ʦoŋ⁵³
鬃	ʦoŋ⁵³
总	ʦoŋ²³
偬	ʦoŋ²³
纵	ʦoŋ³⁴
粽	ʦoŋ³⁴
租	ʦu⁵³
诅	ʦu²³
阻	ʦu²³
组	ʦu²³
俎	ʦu²³
祖	ʦu²³
左	ʦu²³
佐	ʦu²³
做	ʦu³⁴
张	ʦɑ̃⁵³
涨	ʦɑ̃³⁴
帐	ʦɑ̃³⁴
胀	ʦɑ̃³⁴
账	ʦɑ̃³⁴
争	ʦɑ̃⁵³
睁	ʦɑ̃⁵³
铮	ʦɑ̃⁵³
诤	ʦɑ̃⁵³
翅	ʦɿ³⁴
褚	ʦɿ²³
茈	ʦɿ²³
识	ʦɿ³⁴
澍	ʦɿ³⁴
甾	ʦɿ⁵³
徵	ʦɿ²³
之	ʦɿ⁵³
支	ʦɿ⁵³
卮	ʦɿ⁵³
芝	ʦɿ⁵³
吱	ʦɿ⁵³
枝	ʦɿ⁵³
知	ʦɿ⁵³
肢	ʦɿ⁵³
栀	ʦɿ⁵³
祗	ʦɿ⁵³
脂	ʦɿ⁵³
蜘	ʦɿ⁵³
夂	ʦɿ²³
止	ʦɿ²³
旨	ʦɿ²³
址	ʦɿ²³
纸	ʦɿ²³
芷	ʦɿ²³
咫	ʦɿ²³
指	ʦɿ²³
枳	ʦɿ²³
轵	ʦɿ²³
趾	ʦɿ²³
黹	ʦɿ²³
酯	ʦɿ²³
至	ʦɿ³⁴
志	ʦɿ³⁴
忮	ʦɿ³⁴
制	ʦɿ³⁴
帜	ʦɿ³⁴
挚	ʦɿ³⁴
致	ʦɿ³⁴
贽	ʦɿ³⁴
